GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-18,5,2,-1,3,0,-5,88,78,62,1019,1015,1013,31,13,10,23,16,,0.00,6,Rain,117
2016-1-19,5,1,-3,-1,-4,-9,93,69,29,1019,1017,1015,31,11,8,8,3,,0.00,,,356
2016-1-20,7,1,-5,1,-2,-5,95,82,54,1022,1020,1019,27,9,5,14,5,,0.00,,,22
2016-1-21,8,2,-3,2,1,-3,100,81,50,1022,1021,1020,26,10,5,19,11,,0.00,8,,140
2016-1-22,11,7,3,10,6,2,100,85,73,1024,1017,1014,31,11,6,26,18,,3.05,7,Rain,194
2016-1-23,11,8,4,9,6,3,100,91,82,1031,1029,1024,18,8,3,24,13,35,1.02,5,Fog-Rain,202
2016-1-24,15,11,8,13,11,8,100,92,82,1027,1026,1024,31,11,3,23,16,35,0.00,7,Rain,204
2016-1-25,13,11,7,11,8,5,94,79,64,1025,1020,1017,31,13,10,37,18,45,0.00,6,,203
2016-1-26,12,8,5,11,7,4,97,87,65,1024,1016,1011,18,10,5,45,23,55,3.05,6,Rain,212
2016-1-27,13,10,7,12,9,3,96,86,70,1017,1009,1005,31,12,2,45,32,61,2.03,6,Rain,235
2016-1-28,10,6,2,6,2,0,87,73,49,1026,1023,1017,31,14,10,37,18,53,0.00,5,,232
2016-1-29,12,10,7,11,8,7,95,82,67,1022,1017,1011,31,12,5,47,34,61,0.51,7,Rain,230
2016-1-30,8,7,4,11,3,-3,98,71,33,1012,1010,1008,31,13,3,37,27,39,0.00,4,Rain,254
2016-1-31,13,9,4,12,7,1,100,84,76,1013,1009,1005,31,12,3,39,18,55,1.02,7,Rain,232
2016-2-1,14,12,9,11,7,3,84,71,52,1016,1015,1014,27,12,10,45,32,64,0.00,7,Rain,246
2016-2-2,10,8,5,5,2,-1,81,65,37,1017,1015,1014,31,13,8,42,29,,0.25,3,Rain,254
2016-2-3,9,6,2,3,1,-1,91,72,41,1029,1022,1017,31,14,10,34,18,,0.00,5,Rain,275
2016-2-4,14,8,3,9,7,2,92,80,61,1029,1025,1022,31,11,6,32,19,,0.00,6,Rain,259
2016-2-5,11,10,9,10,8,6,97,83,71,1026,1018,1009,31,13,3,34,21,47,0.25,7,Rain,220
2016-2-6,12,9,6,9,8,4,97,83,62,1009,998,986,31,11,5,48,29,74,0.25,7,Rain,200
2016-2-7,10,8,5,9,4,1,97,77,44,995,992,985,29,12,2,47,23,66,0.25,5,Rain,219
2016-2-8,9,8,6,7,3,0,90,70,55,995,987,983,19,11,5,60,39,80,2.03,4,Rain,240
2016-2-9,8,5,2,3,1,-2,87,74,42,995,988,985,31,14,6,37,19,55,0.51,4,Rain,246
2016-2-10,8,5,2,4,2,0,93,77,57,1004,997,990,31,12,6,26,18,,0.51,6,Rain,280
2016-2-11,9,4,-1,2,0,-2,100,79,40,1005,1004,1000,31,12,6,16,5,,0.25,3,,234
2016-2-12,7,3,0,5,2,0,96,85,70,1000,995,994,31,13,10,23,10,,0.00,6,,94
2016-2-13,5,3,2,3,2,0,95,87,78,994,987,983,26,9,5,26,14,,2.03,7,Rain,62
2016-2-14,6,3,1,3,-1,-5,96,74,38,1012,997,988,31,10,5,27,11,39,0.00,4,Rain,16
2016-2-15,7,3,0,0,-1,-2,87,71,43,1035,1025,1012,31,14,10,23,11,,0.00,3,,347
2016-2-16,8,2,-3,2,-1,-3,98,76,44,1036,1033,1027,31,12,7,23,8,40,0.00,4,,197
2016-2-17,6,3,0,4,1,-2,100,79,54,1028,1016,1009,31,13,6,26,13,35,3.05,7,Rain,174
2016-2-18,8,5,1,4,0,-5,99,73,30,1018,1014,1009,31,11,5,16,11,,0.25,5,Rain,289
2016-2-19,10,4,-2,8,3,-2,100,83,52,1019,1015,1008,31,12,5,32,13,,0.25,6,Rain,210
2016-2-20,13,10,7,11,8,5,97,83,58,1011,1009,1008,26,12,7,50,27,60,2.03,6,Rain,251
2016-2-21,14,13,11,12,10,9,96,81,72,1012,1010,1007,26,11,6,42,32,60,0.00,8,Rain,244
2016-2-22,9,7,4,11,4,-1,100,73,39,1013,1009,1007,31,11,3,34,19,,0.76,6,Rain,284
2016-2-23,9,6,2,3,1,-2,87,67,41,1021,1017,1012,31,14,10,14,10,,0.00,4,Rain,325
2016-2-24,8,3,-2,0,-3,-5,93,65,31,1021,1018,1015,31,12,9,13,3,,0.00,3,,355
2016-2-25,7,2,-2,0,-3,-6,87,68,33,1018,1017,1015,31,12,9,14,6,,0.00,5,,294
2016-2-26,8,4,0,1,-2,-3,81,63,35,1016,1010,1007,31,13,10,23,8,,0.00,5,,116
2016-2-27,6,4,3,1,-2,-4,75,59,36,1016,1011,1007,31,13,9,27,13,,0.00,6,,56
2016-2-28,8,5,2,1,-2,-4,75,60,30,1027,1021,1016,31,13,10,27,16,,0.00,5,,46
2016-2-29,9,4,0,1,-1,-2,93,65,33,1028,1026,1024,31,13,10,21,8,,0.00,4,Rain,108
2016-3-1,13,8,4,11,6,1,99,84,66,1024,1011,1003,31,11,3,37,24,55,4.06,7,Rain,225
2016-3-2,7,6,3,5,2,-1,94,75,45,1004,999,994,31,12,4,50,27,71,3.05,4,Rain-Thunderstorm,267
2016-3-3,9,6,3,6,2,-1,93,70,40,1008,1003,993,31,13,6,34,23,50,0.51,5,Rain,263
2016-3-4,8,4,1,7,0,-2,97,71,40,994,991,990,31,12,6,39,19,,0.00,4,Rain,251
2016-3-5,7,3,-1,2,1,-2,93,82,61,1006,1000,994,31,11,5,26,8,,0.51,6,Rain-Snow,326
2016-3-6,6,3,1,1,-1,-2,93,72,49,1007,1006,1004,31,12,7,21,11,,0.00,4,Rain,306
2016-3-7,8,4,0,-1,-3,-4,82,60,36,1015,1010,1005,31,12,10,23,11,34,0.00,4,,322
2016-3-8,9,3,-2,7,0,-5,97,75,52,1016,1013,1002,31,13,5,26,11,,0.25,6,Rain,220
2016-3-9,11,8,6,8,6,4,98,88,62,1010,996,986,31,9,4,32,18,48,8.89,6,Rain,79
2016-3-10,9,7,3,6,4,2,100,86,62,1026,1019,1010,19,8,2,11,8,,0.25,6,Rain,356
2016-3-11,11,6,-1,6,2,-1,100,82,41,1030,1028,1026,8,4,0,13,5,,0.00,3,Fog,71
2016-3-12,11,7,3,5,3,0,100,80,40,1033,1031,1029,10,3,0,11,5,,0.00,5,Fog,87
2016-3-13,11,7,3,4,2,1,99,77,39,1035,1034,1033,23,7,1,21,10,,0.00,5,Fog,63
2016-3-14,12,8,3,3,-1,-8,87,60,14,1035,1032,1030,27,10,6,32,19,,0.00,7,,64
2016-3-15,9,6,2,6,4,0,93,83,70,1032,1030,1029,18,9,6,21,10,,0.00,7,,40
2016-3-16,10,8,5,6,2,-1,96,69,38,1031,1029,1028,31,12,5,26,16,,0.00,6,Rain,58
2016-3-17,12,7,2,4,1,-1,96,68,32,1031,1030,1028,23,9,5,21,11,,0.00,1,,50
2016-3-18,7,4,1,6,3,0,100,84,72,1029,1027,1025,31,10,1,21,10,,0.00,8,Fog-Rain,35
2016-3-19,9,7,6,4,2,1,81,71,60,1027,1026,1026,31,12,10,19,14,,0.00,8,Rain,46
2016-3-20,11,8,5,5,3,1,96,71,45,1027,1025,1023,31,14,6,16,11,,0.00,7,Rain,39
2016-3-21,12,9,5,6,3,0,88,68,39,1025,1023,1021,31,12,5,19,6,,0.00,7,,312
2016-3-22,14,7,1,3,2,0,95,66,35,1021,1018,1016,31,12,5,11,5,,0.00,4,,314
2016-3-23,10,8,6,3,2,1,81,63,44,1018,1017,1016,23,10,7,16,6,,0.00,8,,307
2016-3-24,11,8,5,8,5,1,100,80,59,1016,1013,1009,23,9,5,27,13,,1.02,6,Rain,235
2016-3-25,15,11,7,8,4,1,100,67,33,1016,1013,1009,31,12,3,21,13,,0.00,5,Fog-Rain,269
2016-3-26,14,10,6,12,7,3,99,85,69,1015,1004,996,31,11,4,45,21,64,0.25,7,Rain,190
2016-3-27,11,8,5,8,5,3,93,80,52,1001,999,988,31,12,3,42,23,69,6.10,5,Rain-Thunderstorm,201
2016-3-28,13,8,4,8,4,-1,93,75,31,998,988,974,31,10,3,66,40,97,2.03,5,Rain,230
2016-3-29,12,8,4,6,3,-2,94,73,32,1005,1002,998,31,12,8,34,19,52,4.06,4,Rain-Thunderstorm,234
2016-3-30,13,9,4,4,3,1,94,69,34,1012,1008,1005,31,13,10,27,14,,0.00,2,Rain,250
2016-3-31,13,9,4,3,2,-1,82,62,31,1019,1015,1012,31,13,10,14,8,,0.00,5,,6
2016-4-1,13,7,1,5,2,0,97,69,35,1021,1019,1016,31,11,5,27,10,,0.00,3,,174
2016-4-2,14,11,8,8,3,-2,98,62,26,1016,1012,1007,31,11,2,24,13,,0.25,6,Rain,159
2016-4-3,15,11,7,11,7,5,100,79,44,1007,1005,1002,31,9,1,19,13,,0.51,4,Rain-Thunderstorm,158
2016-4-4,13,11,8,9,7,5,95,80,59,1004,1002,1001,31,13,9,27,14,45,0.25,5,Rain,178
2016-4-5,15,11,7,8,5,1,98,67,27,1011,1007,1004,31,11,5,24,13,,0.00,2,Rain,261
2016-4-6,13,9,5,8,3,0,96,68,35,1011,1007,1005,31,12,3,47,23,58,1.02,5,Rain,245
2016-4-7,12,8,4,7,4,1,94,78,62,1013,1009,1007,31,12,3,27,21,,3.05,5,Rain,262
2016-4-8,14,9,4,7,4,3,100,76,45,1013,1011,1007,31,14,10,19,11,,0.00,4,Rain,254
2016-4-9,11,8,4,7,4,1,98,75,39,1007,1003,1001,31,13,5,24,16,42,1.02,5,Rain,220
2016-4-10,13,7,1,7,2,-4,93,67,23,1009,1007,1006,31,13,10,34,13,,1.02,4,Rain,106
2016-4-11,14,11,8,11,8,7,97,82,63,1007,1006,1005,23,9,5,19,11,,2.03,5,Rain,112
2016-4-12,17,12,7,9,6,2,97,68,29,1007,1006,1005,31,12,10,24,11,39,0.00,4,Rain,215
2016-4-13,18,11,3,7,4,1,99,63,24,1010,1008,1007,31,12,8,21,6,,0.51,,Fog-Rain,227
2016-4-14,17,12,8,8,6,4,87,65,39,1011,1009,1005,31,13,9,21,10,45,0.51,3,Rain,185
2016-4-15,13,11,8,10,8,7,97,90,69,1006,1001,997,29,10,1,16,6,,16.00,6,Rain,308
2016-4-16,9,7,4,8,2,-2,98,75,35,1011,1004,999,31,12,6,19,13,,0.25,5,Rain,326
2016-4-17,12,6,0,2,-1,-4,94,61,22,1020,1016,1011,29,11,9,14,8,,0.00,3,,296
2016-4-18,13,8,3,6,3,-1,87,64,43,1025,1022,1020,31,12,10,27,14,,0.00,7,,259
2016-4-19,16,12,8,7,4,1,87,59,26,1031,1028,1025,31,14,10,23,11,,0.00,7,,6
2016-4-20,14,9,4,5,3,0,93,65,35,1031,1030,1027,31,13,10,26,14,,0.00,1,,75
2016-4-21,17,11,6,7,4,0,94,64,29,1027,1024,1021,31,12,7,27,16,,0.00,3,,67
2016-4-22,11,8,6,8,4,1,93,73,51,1024,1021,1019,31,13,8,23,16,,2.03,6,Rain,65
2016-4-23,11,7,3,6,1,-4,93,64,30,1021,1020,1019,31,13,9,21,11,,0.00,3,Rain,4
2016-4-24,10,7,3,5,1,-3,88,63,31,1021,1020,1018,31,13,10,21,10,,0.25,6,Rain,327
2016-4-25,12,8,4,7,4,2,89,75,40,1019,1011,1006,31,13,10,24,14,,0.51,5,Rain,291
2016-4-26,11,7,2,3,-1,-4,87,62,27,1010,1008,1007,31,12,10,26,16,37,0.25,3,Rain,306
2016-4-27,12,7,1,2,-1,-6,93,61,18,1014,1012,1010,31,13,10,26,11,,0.00,3,Fog-Rain,304
2016-4-28,12,6,0,6,1,-4,97,65,25,1015,1013,1009,31,12,6,32,13,50,1.02,5,Rain,252
2016-4-29,12,8,4,6,1,-2,89,61,34,1015,1011,1009,31,12,10,34,23,45,1.02,3,Rain,263
2016-4-30,14,8,1,3,1,-5,88,61,17,1027,1021,1016,31,12,10,23,10,32,0.25,2,Rain,299
2016-5-1,16,9,2,8,3,-2,93,64,23,1029,1027,1026,31,13,10,26,10,42,0.00,4,Fog-Rain,221
2016-5-2,18,13,8,12,9,5,100,80,52,1026,1021,1017,27,12,5,34,21,45,0.51,6,Rain,222
2016-5-3,16,10,4,6,3,0,93,60,26,1028,1025,1022,31,12,10,23,13,,0.00,2,,277
2016-5-4,17,11,4,6,3,-2,88,53,24,1028,1026,1024,31,13,10,21,10,39,0.00,1,,201
2016-5-5,21,13,6,6,2,-2,71,45,18,1024,1020,1016,31,13,10,23,10,,0.00,,,113
2016-5-6,23,16,8,10,6,3,81,52,24,1016,1011,1007,31,13,6,16,8,,0.00,,,92
2016-5-7,24,18,13,13,10,6,82,58,29,1008,1007,1005,31,9,5,27,10,,0.00,1,,115
2016-5-8,27,20,13,12,8,5,77,47,19,1008,1007,1006,31,13,10,32,13,40,0.00,,,96
2016-5-9,24,19,14,16,11,8,97,61,30,1009,1008,1007,31,13,7,29,14,,0.25,5,Rain,82
2016-5-10,17,16,15,17,15,14,100,93,84,1009,1006,1005,11,6,2,19,10,,7.87,6,Rain,78
2016-5-11,19,17,14,17,15,14,100,92,82,1005,1003,1002,27,6,1,16,8,,3.05,5,Fog-Rain,78
2016-5-12,24,18,12,15,12,8,100,71,27,1005,1002,1001,29,9,2,26,11,,0.00,4,Rain,28
2016-5-13,17,13,9,11,8,4,94,75,54,1016,1010,1006,23,11,7,24,16,39,0.00,6,,25
2016-5-14,14,11,7,5,2,0,76,53,29,1023,1020,1016,31,14,10,16,13,,0.00,6,,20
2016-5-15,17,11,5,7,4,1,93,58,23,1023,1022,1021,31,14,7,19,8,,0.00,3,,294
2016-5-16,18,13,8,9,7,5,93,64,31,1022,1021,1019,31,13,9,16,10,,0.00,3,,332
2016-5-17,18,13,8,11,8,7,96,73,39,1020,1016,1011,31,12,5,27,13,,0.00,6,Rain,250
2016-5-18,14,12,11,12,10,9,100,85,71,1011,1005,1002,31,14,5,23,16,,4.06,5,Rain,222
2016-5-19,19,14,9,12,9,6,94,75,37,1014,1011,1006,31,13,6,27,14,42,0.00,7,Rain,262
2016-5-20,19,16,13,13,10,8,95,71,43,1016,1014,1013,31,14,6,34,19,,0.00,5,Rain,230
2016-5-21,18,15,12,14,12,10,100,82,59,1013,1009,1006,31,13,4,29,21,52,0.25,6,Rain,205
2016-5-22,18,14,11,12,9,7,94,72,37,1012,1008,1006,31,12,5,23,11,,3.05,2,Rain,282
2016-5-23,19,14,9,10,7,5,82,63,30,1022,1017,1012,31,12,10,21,11,34,1.02,3,Rain,329
2016-5-24,17,12,7,9,6,3,96,64,33,1023,1021,1019,31,13,10,23,10,,0.00,4,,41
2016-5-25,12,11,9,8,6,3,86,73,57,1021,1018,1016,31,14,3,14,10,,0.00,7,Rain,15
2016-5-26,21,14,7,11,8,6,100,66,30,1017,1016,1014,31,13,7,21,6,,0.00,4,,69
2016-5-27,22,17,11,13,9,7,88,65,35,1017,1016,1015,31,13,6,21,11,,0.00,4,Rain,75
2016-5-28,21,16,10,12,10,8,94,69,43,1017,1015,1013,26,10,6,16,11,,0.00,4,Rain,54
2016-5-29,19,14,9,12,9,7,93,74,53,1016,1013,1013,31,12,8,19,13,,0.00,5,,18
2016-5-30,18,14,12,12,10,8,89,75,51,1016,1016,1015,31,12,9,23,16,45,0.00,7,,360
2016-5-31,13,12,11,12,9,7,96,84,58,1020,1016,1014,31,12,5,26,18,45,11.94,7,Rain,353
2016-6-1,13,12,11,12,11,10,96,89,82,1022,1021,1019,31,12,9,23,16,35,0.00,8,Rain,9
2016-6-2,13,12,10,11,8,7,94,81,67,1022,1021,1020,31,13,10,24,18,39,0.00,8,Thunderstorm,19
2016-6-3,14,12,9,11,8,7,94,80,65,1020,1018,1016,31,13,5,16,11,,0.00,8,,16
2016-6-4,19,16,12,16,13,11,99,86,73,1019,1017,1016,16,9,3,11,6,,0.00,8,,8
2016-6-5,24,18,12,16,13,10,100,75,48,1022,1020,1019,24,11,4,14,10,,0.00,5,,47
2016-6-6,25,18,12,13,8,-2,98,56,21,1022,1022,1020,31,11,6,21,11,,0.00,1,,81
2016-6-7,24,18,12,19,13,5,96,67,42,1024,1023,1022,27,12,4,14,6,,4.06,3,Rain-Thunderstorm,89
2016-6-8,26,20,14,18,16,12,99,81,46,1024,1024,1023,31,10,3,16,6,,1.02,2,Rain-Thunderstorm,22
2016-6-9,23,18,13,14,12,11,99,72,38,1024,1021,1018,31,11,4,14,10,,0.25,7,,82
2016-6-10,24,19,13,15,11,6,97,65,30,1018,1014,1011,31,12,9,21,6,,0.00,3,Rain-Thunderstorm,157
2016-6-11,22,19,16,16,14,12,94,73,44,1011,1011,1010,31,11,6,21,6,,0.00,2,Rain,248
2016-6-12,21,18,14,17,14,12,100,86,69,1010,1007,1004,31,11,5,19,13,29,4.06,5,Rain,224
2016-6-13,19,16,13,16,13,12,97,83,63,1005,1002,1000,31,12,6,23,16,,3.05,6,Rain,266
2016-6-14,19,16,13,16,13,10,100,85,64,1001,996,995,31,12,3,26,16,,3.05,4,Rain,235
2016-6-15,20,16,12,15,11,10,98,77,49,1000,996,995,31,12,5,29,14,,3.05,4,Rain,216
2016-6-16,18,15,12,14,12,11,100,85,68,1002,1000,999,31,13,6,14,8,,1.02,5,Rain-Thunderstorm,140
2016-6-17,20,17,13,13,12,11,100,81,53,1014,1007,1002,31,11,6,19,8,,3.05,5,Rain,7
2016-6-18,17,14,12,13,11,10,100,81,58,1024,1019,1014,31,12,6,14,8,,0.00,6,Rain,303
2016-6-19,20,16,11,16,13,10,100,80,50,1024,1023,1018,31,13,6,26,13,42,2.03,6,Rain,226
2016-6-20,22,19,15,19,16,13,100,88,56,1019,1014,1011,23,9,3,32,21,,10.92,5,Rain,238
2016-6-21,22,18,14,14,12,11,89,71,49,1019,1017,1015,31,14,10,24,13,,0.00,5,,252
2016-6-22,22,18,14,18,16,13,100,86,72,1020,1019,1017,31,11,3,24,11,,2.03,5,Rain-Thunderstorm,187
2016-6-23,21,19,16,21,19,14,100,98,88,1018,1016,1014,31,9,3,21,8,,7.11,6,Rain-Thunderstorm,231
2016-6-24,22,17,11,14,12,10,100,75,44,1019,1018,1017,31,14,10,34,16,,0.00,4,Rain,239
2016-6-25,20,16,12,13,11,10,95,74,51,1018,1017,1016,31,13,10,24,13,,0.25,3,Rain,273
2016-6-26,21,17,12,15,12,10,100,79,45,1019,1017,1016,31,14,4,27,14,,0.51,5,Rain,270
2016-6-27,22,18,14,16,12,8,100,72,34,1020,1017,1015,31,12,3,21,14,32,0.00,6,Rain,285
2016-6-28,21,16,11,14,10,7,100,70,36,1020,1014,1006,31,14,6,26,10,,1.02,5,Rain,215
2016-6-29,17,13,11,14,12,9,100,88,67,1011,1009,1007,31,12,10,32,21,,0.51,5,Rain,228
2016-6-30,20,17,13,14,13,12,100,79,51,1010,1009,1008,31,12,5,29,16,,0.51,5,Rain,225
2016-7-1,19,16,12,15,12,9,100,76,49,1010,1009,1007,31,14,7,34,24,,1.02,6,Rain,238
2016-7-2,21,16,10,11,8,6,88,62,31,1017,1013,1010,31,14,10,34,23,34,0.25,3,Rain,251
2016-7-3,21,16,10,12,11,8,100,69,43,1020,1018,1017,31,13,10,21,13,42,0.00,2,,220
2016-7-4,21,16,11,14,13,11,100,77,46,1021,1019,1016,31,14,6,26,13,39,0.00,6,,220
2016-7-5,21,18,14,15,11,8,100,65,32,1022,1017,1014,31,13,5,23,18,,0.00,6,Rain,286
2016-7-6,22,16,10,11,8,6,82,54,29,1024,1023,1021,31,11,10,16,8,,0.00,5,,280
2016-7-7,23,19,14,14,12,10,77,63,40,1022,1019,1017,31,12,10,21,11,35,0.00,3,Rain,232
2016-7-8,23,19,14,15,13,12,88,69,43,1020,1016,1014,31,14,10,32,18,42,0.00,4,Rain,249
2016-7-9,23,19,15,15,14,12,88,68,50,1020,1017,1014,31,13,10,32,18,48,0.00,4,,221
2016-7-10,23,19,16,18,14,12,100,76,44,1014,1009,1006,31,14,5,35,21,48,0.00,6,Rain,218
2016-7-11,22,18,15,16,14,12,94,77,52,1011,1008,1005,31,13,3,34,24,48,1.02,6,Rain,228
2016-7-12,19,16,12,15,12,11,100,79,55,1015,1012,1011,31,12,6,24,13,,5.08,4,Rain,268
2016-7-13,20,16,12,11,10,7,88,70,41,1021,1018,1015,31,14,3,24,10,,2.03,5,Rain,303
2016-7-14,22,17,11,11,9,6,88,60,28,1026,1024,1021,31,13,10,16,10,,0.00,4,Rain,304
2016-7-15,19,15,11,16,12,8,100,74,43,1027,1026,1025,31,12,5,24,14,,0.00,7,Rain,259
2016-7-16,27,22,17,17,16,15,94,72,46,1026,1025,1023,18,10,10,24,19,,0.00,5,,259
2016-7-17,27,22,17,17,17,15,94,71,40,1024,1022,1021,31,13,10,27,16,,0.00,4,Rain,268
2016-7-18,29,22,16,17,13,3,100,60,13,1023,1021,1020,31,12,6,16,8,32,0.00,1,,234
2016-7-19,33,24,16,18,16,13,94,56,24,1021,1017,1012,31,14,10,23,10,,0.00,,,116
2016-7-20,31,25,17,18,16,12,78,57,25,1014,1010,1007,31,13,9,32,16,47,0.00,3,,232
2016-7-21,25,19,14,14,13,11,94,64,32,1018,1016,1014,31,14,10,21,13,,0.00,4,,287
2016-7-22,24,21,17,17,16,13,100,72,43,1020,1018,1017,31,13,8,10,6,,0.51,2,Rain,249
2016-7-23,28,21,14,17,14,12,100,64,29,1021,1020,1019,31,13,9,21,8,40,0.00,2,,222
2016-7-24,26,20,14,18,14,12,100,71,40,1021,1019,1017,31,13,4,26,14,34,0.25,6,Rain,234
2016-7-25,24,19,14,19,12,8,100,62,28,1021,1019,1018,31,13,6,24,16,,0.00,5,Rain,266
2016-7-26,23,18,13,14,12,11,100,65,39,1022,1021,1019,31,12,10,21,13,,0.00,4,Rain,253
2016-7-27,26,21,17,17,15,12,100,73,44,1019,1015,1014,31,12,6,23,16,40,3.05,5,Rain,235
2016-7-28,23,19,14,17,13,10,94,68,40,1015,1014,1011,29,12,10,23,10,,1.02,5,Rain,237
2016-7-29,23,20,16,17,15,13,100,75,51,1012,1011,1010,31,13,10,23,14,,0.25,6,Rain,252
2016-7-30,22,19,16,14,12,9,88,64,33,1015,1013,1012,31,13,10,13,8,,0.00,5,Rain,309
2016-7-31,22,18,13,11,9,8,77,55,34,1019,1017,1015,31,11,10,23,8,,0.00,4,,299
2016-8-1,19,16,12,14,11,8,100,74,48,1020,1019,1013,31,11,6,24,11,,0.76,6,Rain,239
2016-8-2,22,18,14,20,17,14,100,93,73,1013,1010,1009,31,12,3,24,18,,0.25,7,Rain,221
2016-8-3,24,21,17,18,15,12,94,70,42,1010,1008,1006,31,13,10,34,24,,0.00,5,Rain,231
2016-8-4,23,19,15,13,12,9,88,64,33,1014,1010,1007,31,14,10,32,24,,0.00,4,,257
2016-8-5,24,18,13,14,12,9,100,67,33,1023,1020,1014,31,12,5,23,14,,0.00,2,,271
2016-8-6,26,19,12,15,12,10,100,64,29,1028,1026,1024,31,12,10,26,14,,0.00,1,,254
2016-8-7,27,22,17,18,14,11,100,66,33,1027,1023,1021,31,14,10,35,19,53,0.00,6,Rain,246
2016-8-8,22,18,14,13,9,5,88,54,26,1024,1022,1020,31,13,10,27,19,,0.00,5,,288
2016-8-9,21,16,10,8,7,5,87,55,30,1027,1025,1024,29,13,10,19,11,,0.00,2,,309
2016-8-10,20,16,11,10,8,6,82,58,31,1026,1025,1024,31,14,10,19,11,,0.00,3,Fog,289
2016-8-11,24,19,14,14,12,10,88,67,40,1024,1022,1021,31,14,10,24,18,,0.00,4,Rain,275
2016-8-12,27,20,13,15,13,8,94,66,26,1025,1023,1022,31,12,10,29,16,,0.00,3,,260
2016-8-13,26,20,14,14,12,10,82,62,33,1024,1023,1022,24,10,10,27,18,,0.00,6,,258
2016-8-14,23,19,15,11,9,8,72,50,31,1026,1025,1024,31,10,10,11,6,,0.00,7,,21
2016-8-15,24,18,12,12,11,9,88,60,31,1026,1024,1022,31,13,10,21,10,,0.00,1,,89
2016-8-16,25,19,12,14,11,10,94,66,33,1023,1019,1017,31,13,10,23,10,,0.00,3,,74
2016-8-17,27,20,13,14,11,8,94,61,22,1017,1013,1011,31,12,9,16,10,,0.00,2,,75
2016-8-18,25,20,16,15,13,9,88,64,28,1012,1010,1009,31,13,10,19,8,,0.00,3,Rain,74
2016-8-19,19,17,16,18,16,14,100,86,67,1010,1007,1004,31,10,3,26,14,40,2.03,6,Rain,165
2016-8-20,22,18,14,14,13,11,94,75,44,1009,1006,1005,26,11,8,40,24,61,0.51,5,Rain,215
2016-8-21,23,19,14,17,13,9,100,74,36,1021,1016,1009,31,14,5,34,26,,0.51,6,Rain,247
2016-8-22,26,21,16,17,16,14,100,75,43,1025,1023,1021,31,14,10,29,19,45,0.00,5,Rain,223
2016-8-23,31,22,13,16,14,12,100,63,25,1025,1022,1019,31,13,10,24,10,27,0.00,,Fog,150
2016-8-24,33,26,18,19,16,14,88,60,25,1019,1017,1016,31,14,10,23,6,,3.05,1,Rain-Thunderstorm,7
