GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-20,5,-1,-7,1,-2,-7,100,83,59,1012,1010,1005,31,11,5,26,6,,0.25,2,Fog-Rain,133
2015-1-21,4,3,2,2,2,0,95,88,71,1014,1008,1004,27,9,5,24,18,,0.25,6,Rain,105
2015-1-22,4,1,-2,1,-1,-3,100,81,52,1026,1020,1014,11,7,3,11,6,,0.00,4,,13
2015-1-23,7,-1,-8,7,-1,-8,100,87,62,1027,1024,1017,11,7,3,23,8,,1.02,6,Fog-Rain,215
2015-1-24,7,4,1,8,1,-2,100,75,49,1032,1026,1016,31,17,5,26,16,,0.00,3,Rain,295
2015-1-25,8,3,-2,6,2,-3,100,81,57,1033,1030,1025,31,15,10,27,11,,0.25,6,,246
2015-1-26,9,7,4,9,4,1,94,77,49,1028,1024,1021,31,16,10,23,16,,0.25,4,Rain,285
2015-1-27,9,6,2,4,3,0,93,77,60,1029,1026,1019,31,18,10,21,13,,0.00,5,,272
2015-1-28,11,7,3,9,2,-3,94,73,35,1020,1006,999,31,14,6,48,27,55,1.02,5,Rain,247
2015-1-29,7,4,1,2,0,-2,93,80,55,1002,985,977,31,15,8,34,26,,1.02,2,Rain,255
2015-1-30,7,3,1,2,1,-1,93,79,56,981,979,975,31,15,9,23,18,39,0.25,3,Rain,280
2015-1-31,5,2,-1,2,0,-3,100,80,51,994,985,980,31,14,5,24,16,42,3.05,5,Rain-Snow,298
2015-2-1,6,3,-1,0,-2,-4,93,66,49,1006,1000,994,31,15,8,34,21,48,0.00,5,Rain-Snow,312
2015-2-2,3,-1,-6,-2,-4,-8,86,72,52,1007,1006,1004,31,19,10,14,10,,0.00,1,,293
2015-2-3,4,1,-1,1,0,-4,100,88,68,1015,1008,1004,27,11,1,19,10,,0.00,5,Fog-Rain-Snow,4
2015-2-4,4,2,1,1,0,-1,93,79,59,1025,1020,1015,26,13,7,19,11,,0.00,4,Rain,356
2015-2-5,5,3,1,2,-1,-4,93,80,48,1029,1026,1024,31,13,4,23,13,,0.25,3,Rain-Snow,17
2015-2-6,5,2,-1,-1,-2,-4,87,68,45,1034,1031,1029,31,17,10,27,16,47,0.00,3,,43
2015-2-7,5,2,-1,3,1,-2,100,86,71,1038,1036,1034,26,12,5,16,11,,0.25,6,Rain,18
2015-2-8,9,6,2,2,1,0,93,76,47,1040,1038,1036,23,12,5,14,8,,0.00,3,,314
2015-2-9,9,4,0,4,3,-1,93,80,53,1037,1034,1033,18,9,3,13,8,,0.00,5,,316
2015-2-10,7,6,4,3,2,1,93,79,61,1034,1032,1028,29,11,5,16,5,,0.00,6,,141
2015-2-11,5,4,4,2,1,0,81,74,60,1029,1025,1022,24,11,9,14,10,,0.00,7,,154
2015-2-12,4,3,1,0,-1,-1,93,71,58,1023,1020,1014,10,8,6,13,6,,0.00,7,,188
2015-2-13,9,5,1,7,4,-1,93,86,71,1015,1003,996,26,10,3,34,18,52,2.03,4,Rain,159
2015-2-14,8,6,3,7,5,3,100,88,74,1008,1002,996,31,13,6,14,11,,0.25,5,Rain,75
2015-2-15,9,6,2,6,4,1,100,84,55,1017,1013,1008,24,8,3,13,8,,0.00,5,Rain,56
2015-2-16,8,4,-1,7,4,0,100,91,72,1024,1016,1014,19,8,0,19,8,,5.08,4,Fog-Rain,197
2015-2-17,9,6,2,2,0,-2,93,69,34,1042,1036,1024,31,16,10,16,11,,0.00,2,,299
2015-2-18,11,6,0,3,1,-2,93,72,44,1042,1037,1031,31,16,10,26,11,40,0.00,3,,219
2015-2-19,8,6,4,7,4,2,95,85,67,1031,1021,1011,31,13,5,27,18,,2.03,5,Rain,204
2015-2-20,7,4,2,6,3,1,97,83,61,1012,1006,1000,29,14,8,14,10,,0.25,3,Rain,281
2015-2-21,8,4,1,2,1,-2,100,78,40,1008,1002,998,31,13,6,24,13,,1.02,3,Rain,289
2015-2-22,10,4,-2,8,2,-3,100,88,61,1009,1003,990,31,13,5,37,16,52,6.10,5,Rain,207
2015-2-23,8,6,4,4,1,-2,87,70,42,993,992,991,31,15,5,45,26,58,1.02,2,Rain,238
2015-2-24,9,7,3,3,1,-3,87,67,28,1014,1005,993,31,16,8,37,26,53,0.00,3,Rain,258
2015-2-25,12,8,4,8,6,2,100,81,52,1017,1015,1012,31,13,6,14,11,37,1.02,4,Rain,231
2015-2-26,11,7,3,11,6,-1,100,84,58,1016,1013,1009,31,14,5,24,14,35,4.06,5,Rain,255
2015-2-27,9,4,0,3,0,-2,93,69,33,1021,1019,1016,31,17,10,23,13,,0.00,1,,252
2015-2-28,11,8,4,10,6,3,100,86,68,1018,1008,996,31,13,6,32,21,48,2.03,6,Rain,201
2015-3-1,12,8,5,9,3,1,88,68,35,1003,1000,996,31,15,10,40,31,66,3.05,2,Rain-Thunderstorm,252
2015-3-2,9,6,2,2,-1,-6,87,64,26,1016,1008,1001,31,17,10,47,26,64,0.00,1,Rain,254
2015-3-3,9,6,2,3,0,-3,93,65,30,1021,1016,1012,31,15,10,37,19,,0.00,2,Rain,243
2015-3-4,11,6,2,1,0,-2,87,64,34,1039,1030,1022,31,19,10,27,19,,0.00,2,,286
2015-3-5,12,6,-1,4,1,-2,93,69,41,1041,1039,1037,31,14,10,24,11,37,0.00,5,,268
2015-3-6,13,9,5,4,2,1,81,64,35,1037,1034,1029,31,17,10,27,18,,0.00,5,,224
2015-3-7,16,11,6,6,4,3,93,68,38,1029,1025,1022,27,18,10,27,18,45,0.00,,,218
2015-3-8,13,9,6,9,6,3,93,79,64,1028,1023,1021,31,13,8,27,16,,0.00,4,Rain,240
2015-3-9,11,6,1,9,5,0,100,87,75,1029,1025,1021,23,12,6,27,11,42,0.25,5,Rain,198
2015-3-10,12,8,3,6,2,-2,100,65,26,1032,1030,1025,31,15,6,16,10,,0.00,,,329
2015-3-11,14,8,3,6,4,1,93,72,41,1032,1029,1026,19,11,6,24,13,,0.00,6,Rain,150
2015-3-12,14,10,5,6,1,-6,87,52,17,1029,1025,1021,31,12,6,26,13,,0.00,4,,132
2015-3-13,11,8,4,3,1,-3,81,54,25,1029,1023,1020,31,17,6,27,13,,0.00,4,,81
2015-3-14,8,6,3,3,0,-2,87,63,37,1031,1030,1029,31,13,9,23,16,,0.00,4,Rain,35
2015-3-15,7,6,4,4,3,1,93,78,56,1030,1028,1025,16,10,5,21,14,,0.00,5,Rain,51
2015-3-16,8,6,4,5,3,3,94,83,64,1026,1023,1022,10,7,3,16,11,,0.51,6,Rain,78
2015-3-17,12,8,4,6,6,3,100,83,51,1029,1025,1023,7,3,2,16,8,,0.00,4,Rain,49
2015-3-18,11,7,3,4,3,2,100,77,46,1034,1032,1029,8,5,1,19,10,,0.00,3,,23
2015-3-19,8,7,6,4,3,3,87,79,67,1034,1033,1031,14,8,5,19,13,,0.00,7,,23
2015-3-20,12,8,5,4,3,3,87,74,45,1032,1027,1023,18,7,5,16,10,,0.00,6,,353
2015-3-21,8,7,5,4,2,0,87,70,45,1029,1026,1022,31,14,10,24,11,,0.00,5,,5
2015-3-22,9,6,2,2,0,-2,87,64,39,1029,1026,1021,31,15,10,19,13,,0.00,4,,76
2015-3-23,12,7,1,6,2,-1,93,69,36,1022,1016,1012,31,13,5,21,11,,2.03,4,Rain,255
2015-3-24,11,7,3,6,2,-1,93,70,35,1012,1010,1008,31,12,2,19,8,,0.25,2,Rain,311
2015-3-25,10,5,0,3,0,-2,93,69,32,1012,1011,1009,26,12,8,14,8,,0.00,2,,292
2015-3-26,13,8,3,8,3,-1,93,72,36,1015,1006,1001,31,13,2,29,16,58,5.08,4,Rain,255
2015-3-27,13,7,1,5,1,-2,87,63,29,1021,1020,1015,31,20,10,19,13,,0.00,2,,250
2015-3-28,14,10,7,10,8,5,100,80,57,1020,1011,1006,31,12,5,45,21,58,0.00,6,Rain,222
2015-3-29,14,11,8,11,7,4,100,79,54,1006,1000,994,31,14,3,58,32,80,4.06,4,Rain,254
2015-3-30,12,8,5,10,3,-3,94,67,26,1012,1007,999,31,15,7,39,23,37,0.51,4,Rain,259
2015-3-31,13,10,6,10,3,-2,88,56,24,1019,1007,996,31,14,5,55,40,77,0.00,3,Rain,280
2015-4-1,12,8,4,7,1,-2,93,62,32,1025,1022,1017,31,17,5,35,26,52,0.51,3,Rain,267
2015-4-2,12,9,6,8,3,-1,96,70,30,1023,1020,1014,31,13,5,32,18,,0.00,5,Rain,285
2015-4-3,12,9,7,11,8,5,100,90,70,1022,1016,1014,26,8,2,14,11,,2.03,6,Rain,151
2015-4-4,10,8,7,9,5,3,100,77,56,1026,1022,1018,31,13,2,27,10,,0.00,6,Rain,12
2015-4-5,13,9,6,6,4,3,87,70,43,1030,1027,1025,31,14,10,11,6,,0.00,5,Rain,71
2015-4-6,17,9,2,8,5,2,100,74,41,1036,1032,1030,31,13,6,24,8,,0.00,2,,1
2015-4-7,18,11,3,7,5,2,93,65,35,1038,1036,1034,31,18,10,13,6,,0.00,1,,281
2015-4-8,18,12,6,9,6,4,93,67,39,1035,1032,1030,18,10,6,21,6,,0.00,2,,183
2015-4-9,18,11,5,8,6,4,100,70,29,1030,1027,1023,14,7,0,16,8,,0.00,3,Fog,99
2015-4-10,21,13,6,7,6,3,87,60,22,1024,1018,1014,29,10,4,23,10,,0.00,1,Rain,151
2015-4-11,14,10,7,9,3,-6,94,58,20,1027,1018,1012,24,11,7,32,19,,0.51,4,Rain,250
2015-4-12,18,11,4,8,3,-1,93,60,25,1028,1026,1023,31,16,10,37,18,47,0.00,2,Rain,226
2015-4-13,17,12,8,9,6,2,87,67,43,1032,1030,1029,31,14,10,21,10,,0.00,6,Rain,216
2015-4-14,22,14,6,10,7,5,100,66,30,1029,1025,1022,29,13,3,29,14,,0.25,4,Fog,240
2015-4-15,24,17,8,9,6,4,82,51,18,1022,1017,1014,31,22,10,23,10,,0.00,,,270
2015-4-16,17,13,8,8,5,-1,87,61,29,1017,1015,1013,31,18,9,26,13,,0.00,1,Rain,77
2015-4-17,16,12,8,5,3,-1,71,55,22,1026,1020,1015,31,19,10,26,18,,0.00,1,Rain,70
2015-4-18,15,10,5,5,2,-2,87,58,24,1029,1027,1026,31,16,10,32,19,47,0.00,2,,70
2015-4-19,12,8,4,4,2,0,81,63,38,1028,1025,1022,31,14,10,19,13,,0.00,4,,44
2015-4-20,18,11,3,5,3,2,93,60,23,1033,1029,1026,26,19,10,23,11,,0.00,,,69
2015-4-21,19,12,4,6,3,0,81,54,20,1035,1034,1032,31,23,10,23,11,,0.00,,,55
2015-4-22,16,11,5,8,4,2,81,62,37,1034,1030,1025,31,17,10,26,14,,0.00,4,,70
2015-4-23,17,12,6,7,5,3,93,66,27,1026,1020,1016,31,17,6,14,10,,0.00,6,,89
2015-4-24,18,12,7,10,7,5,93,72,41,1016,1011,1008,31,10,4,26,13,40,0.51,3,Rain,216
2015-4-25,18,14,11,12,9,6,100,77,35,1008,1006,1004,31,11,5,27,18,42,1.02,4,Rain,225
2015-4-26,11,9,7,11,6,-1,100,77,49,1010,1008,1006,31,14,2,16,10,,0.00,5,Rain,22
2015-4-27,13,8,3,2,-1,-4,75,51,22,1013,1011,1010,31,14,10,24,10,,0.00,2,Rain,306
2015-4-28,16,9,3,3,0,-5,87,56,17,1019,1016,1013,31,17,10,29,19,,0.00,1,,257
2015-4-29,14,10,7,7,3,-3,87,66,22,1018,1013,1011,31,14,6,29,19,47,2.03,3,Rain,228
2015-4-30,16,10,4,4,2,-1,87,56,22,1013,1011,1010,31,19,10,27,16,48,0.00,2,,268
2015-5-1,13,9,6,3,2,-1,81,60,30,1012,1010,1009,31,16,10,24,16,,0.00,2,,76
2015-5-2,16,11,6,9,4,1,94,68,39,1013,1009,1003,31,16,5,26,14,,0.76,5,Rain,87
2015-5-3,20,14,9,13,11,8,100,81,47,1003,998,995,31,10,2,37,21,52,1.02,5,Rain,192
2015-5-4,19,15,11,12,8,4,100,68,33,1006,1002,992,31,13,4,29,19,39,0.25,3,Rain,195
2015-5-5,16,14,11,14,9,3,100,70,31,1002,995,988,31,13,3,52,27,72,0.00,4,Rain,212
2015-5-6,14,11,8,9,7,6,87,72,45,1011,1004,1001,31,14,3,47,31,66,4.06,3,Rain,228
2015-5-7,17,13,8,8,6,3,87,62,32,1017,1015,1012,31,14,10,32,21,,0.00,3,Rain,233
2015-5-8,17,12,8,12,7,5,88,70,40,1017,1013,1010,31,16,5,26,10,,0.25,3,Rain,164
2015-5-9,19,14,10,11,6,3,88,60,27,1023,1016,1010,31,14,10,39,26,,0.00,4,Rain,249
2015-5-10,19,13,8,10,8,5,97,68,41,1025,1023,1020,31,15,2,24,13,39,0.00,4,,200
2015-5-11,21,16,11,12,10,7,94,67,42,1020,1018,1017,31,15,10,26,14,,0.00,2,,217
2015-5-12,18,14,11,8,4,-2,82,55,20,1023,1019,1016,31,19,10,37,18,52,0.25,2,Rain,257
2015-5-13,20,13,6,8,3,-2,87,53,15,1023,1019,1016,31,18,10,21,10,,0.00,2,,345
2015-5-14,10,9,8,8,7,6,100,85,62,1017,1013,1009,31,12,4,27,18,,11.94,5,Rain,76
2015-5-15,16,11,7,9,6,4,100,72,43,1023,1021,1015,31,14,4,23,13,,0.00,4,Rain,324
2015-5-16,18,14,10,11,6,1,88,58,24,1028,1024,1020,31,16,10,24,16,40,0.00,4,Rain,281
2015-5-17,17,12,6,8,5,3,87,60,31,1028,1025,1018,31,15,10,27,14,,0.00,3,,261
2015-5-18,16,12,8,12,6,1,94,68,29,1018,1007,1002,31,12,5,50,23,71,1.02,3,Rain,235
2015-5-19,14,11,7,6,4,3,81,66,41,1010,1005,1002,31,13,8,34,24,47,2.03,2,Rain-Thunderstorm,256
2015-5-20,16,10,4,6,4,3,93,64,31,1024,1016,1010,10,10,10,24,14,,0.00,2,Rain,295
2015-5-21,20,12,5,7,4,-1,87,54,15,1027,1026,1024,31,20,10,24,11,,0.00,1,,259
2015-5-22,19,13,7,13,9,6,87,71,56,1028,1025,1023,31,16,10,16,13,,0.00,2,Rain,259
2015-5-23,17,14,12,12,9,4,82,66,34,1025,1024,1023,31,15,10,21,11,,0.00,4,Rain,36
2015-5-24,20,16,12,13,9,4,82,65,42,1024,1020,1018,31,15,7,21,13,,0.25,4,Rain,247
2015-5-25,17,13,9,8,6,4,76,57,34,1021,1020,1019,31,14,10,19,11,,0.00,4,,324
2015-5-26,19,14,9,8,7,5,82,59,32,1027,1023,1021,31,15,10,21,11,39,0.00,3,Rain,311
2015-5-27,20,13,7,9,6,4,81,58,31,1027,1023,1016,31,16,10,27,13,42,0.00,2,Rain,261
2015-5-28,18,14,11,9,4,0,82,50,21,1016,1014,1013,31,12,10,32,23,45,0.00,3,,266
2015-5-29,14,12,8,10,6,3,88,67,38,1014,1009,1005,31,11,8,34,18,48,3.05,2,Rain,252
2015-5-30,18,12,6,7,4,1,87,59,23,1015,1013,1011,31,13,10,26,14,,0.00,2,,253
2015-5-31,16,13,9,14,9,0,100,75,28,1013,1008,1004,31,11,5,35,21,,0.51,5,Rain,237
2015-6-1,16,12,7,8,5,2,82,62,31,1015,1012,1005,31,15,10,40,21,61,0.25,2,Rain,221
2015-6-2,20,16,11,14,12,6,94,79,39,1012,1005,1001,31,13,6,45,34,60,0.00,5,Rain,225
2015-6-3,20,16,11,8,6,3,82,53,23,1027,1021,1013,31,14,10,27,19,27,0.00,2,,265
2015-6-4,23,16,8,10,7,2,87,51,17,1027,1024,1019,31,21,10,23,8,,0.00,,,141
2015-6-5,24,18,11,17,12,3,88,65,33,1020,1016,1013,31,14,8,34,14,,0.25,2,Rain,234
2015-6-6,20,14,8,6,4,1,87,52,21,1029,1024,1020,31,16,10,35,21,,0.00,2,,260
2015-6-7,20,13,7,8,4,1,93,51,18,1033,1031,1029,31,18,10,16,11,27,0.00,2,,330
2015-6-8,19,14,9,7,5,2,82,54,22,1034,1033,1031,31,15,10,23,10,,0.00,2,Rain,37
2015-6-9,16,11,7,5,4,3,81,57,32,1034,1033,1031,31,12,10,24,16,42,0.00,3,,37
2015-6-10,19,14,9,7,4,2,67,51,29,1032,1028,1025,31,12,10,24,18,45,0.00,4,,51
2015-6-11,24,17,9,10,8,6,87,55,24,1025,1019,1014,31,22,10,32,18,,0.00,1,,73
2015-6-12,25,19,13,17,13,9,94,65,39,1014,1009,1006,31,13,3,16,10,,0.00,2,Rain,75
2015-6-13,20,17,14,17,13,12,95,80,53,1012,1009,1006,31,13,5,27,16,,0.00,5,Rain,253
2015-6-14,18,14,12,13,11,7,94,76,41,1018,1013,1011,31,11,3,21,11,,0.25,5,Rain,332
2015-6-15,21,16,11,9,7,4,88,58,24,1025,1022,1018,31,14,10,19,14,,0.00,4,Rain,71
2015-6-16,24,17,9,10,8,6,87,55,27,1026,1025,1024,31,17,10,23,10,26,0.00,1,,230
2015-6-17,26,19,12,16,12,7,83,67,42,1026,1023,1020,31,13,10,35,18,53,0.00,4,,257
2015-6-18,22,18,14,15,9,6,88,55,27,1022,1021,1020,31,17,10,23,14,,0.00,4,Rain,326
2015-6-19,22,17,11,10,7,6,76,53,30,1023,1022,1020,31,15,10,21,11,,0.00,3,,317
2015-6-20,20,17,13,16,12,8,94,74,55,1023,1021,1018,31,14,2,24,10,35,3.05,4,Rain,256
2015-6-21,21,18,14,14,9,6,88,62,30,1019,1016,1014,31,14,10,32,21,,0.25,3,Rain,268
2015-6-22,18,14,11,11,8,4,94,69,30,1015,1011,1008,31,12,6,24,18,39,0.25,2,Rain,281
2015-6-23,21,17,12,11,8,6,82,58,30,1020,1017,1013,31,13,10,16,10,,0.00,4,,312
2015-6-24,24,18,12,11,9,7,82,57,24,1021,1020,1019,31,15,10,24,13,42,0.00,2,,230
2015-6-25,25,18,12,12,10,6,88,56,26,1022,1021,1020,31,16,10,21,11,39,0.00,3,,230
2015-6-26,27,20,13,14,11,9,77,58,25,1021,1017,1015,31,16,10,32,14,,0.00,4,,231
2015-6-27,25,18,12,12,9,6,88,56,21,1021,1019,1016,31,18,10,23,16,,0.00,2,,271
2015-6-28,21,18,15,14,12,10,82,67,45,1021,1019,1018,31,15,10,24,14,,2.03,2,Rain,224
2015-6-29,26,19,13,11,10,8,82,55,26,1023,1022,1021,31,20,10,19,11,37,0.00,1,,251
2015-6-30,30,22,13,14,9,3,82,44,12,1022,1019,1014,31,23,10,23,11,,0.00,,Rain,155
2015-7-1,37,29,21,17,13,11,65,40,16,1014,1012,1010,31,24,10,29,16,,0.00,1,Rain,146
2015-7-2,26,21,17,16,14,12,88,67,42,1024,1018,1014,31,14,8,34,14,45,0.00,2,Rain,257
2015-7-3,27,20,13,15,11,8,83,56,23,1026,1023,1017,31,21,9,27,10,,8.89,2,Rain,83
2015-7-4,27,22,17,18,14,10,100,67,33,1020,1017,1014,31,8,2,27,14,42,0.00,2,Rain-Thunderstorm,220
2015-7-5,24,19,13,12,11,8,82,61,28,1020,1017,1015,31,18,10,32,13,,0.00,2,Rain,242
2015-7-6,23,18,12,12,10,8,88,60,32,1021,1018,1014,31,17,10,24,16,48,0.00,2,Rain,218
2015-7-7,24,19,15,15,11,6,83,59,26,1014,1009,1007,31,17,10,35,18,48,0.00,3,Rain,232
2015-7-8,21,17,13,13,11,6,94,62,34,1019,1011,1007,31,12,4,29,23,42,0.51,3,Rain,274
2015-7-9,23,17,11,10,5,1,82,44,16,1024,1022,1019,31,20,10,21,11,34,0.00,1,,284
2015-7-10,27,20,13,11,7,2,82,45,11,1024,1020,1015,31,23,10,23,11,39,0.00,,,182
2015-7-11,26,20,14,14,10,8,77,49,24,1019,1016,1014,31,19,10,27,13,42,0.00,2,Rain,274
2015-7-12,22,19,15,17,14,13,94,80,55,1019,1017,1016,31,14,2,32,19,47,3.05,4,Rain,231
2015-7-13,21,18,16,18,16,14,94,86,68,1017,1015,1014,31,13,4,29,16,,2.03,5,Rain,239
2015-7-14,23,20,17,18,15,14,100,78,51,1019,1017,1015,31,13,3,24,18,,2.03,6,Rain,252
2015-7-15,22,19,17,17,15,9,100,76,46,1019,1018,1017,31,13,2,14,11,,0.00,6,Rain,297
2015-7-16,25,20,14,15,13,9,88,65,44,1020,1016,1010,26,14,6,24,13,,7.11,4,Rain-Thunderstorm,90
2015-7-17,25,20,14,17,13,9,94,67,35,1015,1011,1009,23,11,6,35,16,,0.25,3,Rain,242
2015-7-18,23,18,12,11,8,5,94,55,22,1018,1016,1013,31,19,10,24,16,,0.00,1,Rain,242
2015-7-19,24,19,14,13,8,-1,94,51,10,1013,1011,1009,31,17,9,34,14,,0.00,2,Rain,244
2015-7-20,24,19,14,18,16,10,100,81,55,1012,1010,1008,31,13,3,32,11,50,0.25,5,Rain,209
2015-7-21,26,19,13,13,12,10,94,61,29,1014,1012,1011,31,16,10,32,19,48,0.00,2,,233
2015-7-22,23,19,14,15,12,8,88,63,37,1017,1015,1014,31,15,9,29,14,,0.51,2,Rain,243
2015-7-23,22,17,11,11,9,7,94,58,28,1019,1017,1016,31,17,10,24,13,,0.00,1,,266
2015-7-24,17,15,13,13,11,8,100,77,46,1016,1010,1004,26,11,3,23,8,,28.96,5,Rain,57
2015-7-25,22,17,11,12,8,5,94,61,26,1016,1012,1005,31,14,10,26,16,35,0.00,3,Rain,300
2015-7-26,17,14,12,16,12,8,94,83,61,1016,1006,997,31,12,3,29,14,37,7.11,4,Rain,189
2015-7-27,21,17,14,14,12,9,88,70,44,1004,1000,997,31,13,10,39,27,55,0.00,3,Rain,250
2015-7-28,21,17,13,12,9,6,82,60,33,1009,1006,1004,31,15,10,34,27,,0.00,3,Rain,262
2015-7-29,20,14,9,12,8,6,88,65,33,1015,1011,1009,31,17,10,24,18,,0.25,2,Rain,275
2015-7-30,20,15,10,10,7,3,88,56,23,1021,1018,1015,31,17,10,21,11,,0.00,1,Rain,303
2015-7-31,22,16,8,10,7,4,83,54,23,1021,1018,1015,29,19,10,21,6,37,0.00,1,,206
2015-8-1,21,15,9,12,8,7,87,59,32,1018,1016,1016,31,17,10,24,11,34,0.00,1,Rain,244
2015-8-2,26,19,12,13,10,6,94,60,20,1019,1016,1011,31,17,10,23,11,,0.00,1,,164
2015-8-3,25,20,16,16,13,8,83,64,40,1012,1011,1009,31,14,10,34,18,47,0.00,3,Rain,200
2015-8-4,22,18,13,12,10,7,88,59,31,1016,1013,1011,31,17,10,35,21,47,0.00,2,,229
2015-8-5,22,18,14,14,12,9,94,70,39,1016,1013,1011,31,15,5,23,13,32,3.05,2,Rain,185
2015-8-6,24,19,13,16,13,11,94,69,37,1016,1013,1010,31,15,6,26,14,39,0.00,3,Rain,217
2015-8-7,24,18,12,14,9,8,82,55,24,1021,1017,1016,31,15,10,14,8,,0.00,5,,310
2015-8-8,26,20,14,15,13,10,94,62,28,1024,1023,1021,31,15,10,23,10,,0.00,2,,148
2015-8-9,26,19,12,15,11,4,94,57,17,1023,1020,1018,31,17,10,24,11,35,0.00,1,,237
2015-8-10,22,19,17,18,16,10,88,77,60,1019,1017,1016,31,14,10,29,14,40,0.00,5,Rain,223
2015-8-11,21,18,14,15,12,9,88,67,39,1023,1020,1018,31,13,3,14,8,,0.51,2,Rain,300
2015-8-12,23,19,15,16,13,11,94,67,40,1024,1023,1021,27,13,8,23,11,,0.51,3,Rain,60
2015-8-13,20,18,16,18,16,11,94,85,59,1021,1015,1009,23,9,3,23,14,,7.11,6,Rain,49
2015-8-14,21,18,16,18,16,14,100,89,72,1009,1006,1005,23,7,1,26,10,40,0.76,5,Fog-Rain,268
2015-8-15,21,17,14,14,9,6,88,61,28,1016,1012,1008,23,12,6,19,10,,0.00,2,Rain,309
2015-8-16,21,16,11,11,9,8,82,60,35,1018,1017,1016,31,15,10,16,6,,0.00,2,,29
2015-8-17,22,17,13,11,8,4,88,56,33,1019,1017,1016,31,21,10,14,6,,0.00,2,,358
2015-8-18,19,17,14,13,10,8,82,63,43,1016,1015,1014,31,24,10,23,13,,0.25,1,Rain,261
2015-8-19,21,17,13,15,12,11,100,77,46,1018,1017,1015,31,14,6,23,13,,2.03,3,Rain,207
2015-8-20,21,18,15,18,16,14,100,86,65,1021,1019,1017,31,12,3,23,14,39,0.00,6,Rain,204
2015-8-21,26,22,17,17,16,13,88,70,39,1021,1020,1018,31,13,10,26,18,37,0.00,4,,199
2015-8-22,31,23,15,17,14,12,94,63,27,1019,1014,1008,31,16,7,26,10,,0.00,4,,114
2015-8-23,22,18,13,17,13,11,94,66,44,1008,1003,1001,31,14,3,24,16,,3.05,3,Rain,170
2015-8-24,17,14,12,15,13,11,100,91,80,1005,1000,996,31,11,2,23,10,,11.94,3,Rain,24
2015-8-25,19,15,11,17,13,9,95,85,60,1011,1008,1005,31,13,3,26,19,,5.08,3,Rain,216
