MYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-4-17,34,30,27,26,26,24,94,81,63,1012,1009,1007,10,9,6,19,5,,0.00,6,,262
2016-4-18,37,32,27,26,25,23,94,74,47,1012,1009,1006,10,9,7,16,3,,0.00,6,,277
2016-4-19,37,32,28,26,24,21,89,69,42,1011,1009,1006,10,8,4,16,5,,0.00,6,,332
2016-4-20,36,31,26,26,24,22,100,72,44,1012,1010,1007,10,8,4,16,5,,0.00,6,Thunderstorm,297
2016-4-21,36,31,27,25,24,23,89,70,47,1011,1009,1007,10,6,3,16,5,,0.00,6,Thunderstorm,352
2016-4-22,33,30,27,25,25,24,89,76,63,1011,1009,1007,6,4,3,13,3,,0.00,6,,277
2016-4-23,34,30,27,26,26,24,94,80,56,1010,1009,1006,5,4,2,14,3,,0.00,6,,238
2016-4-24,34,30,26,26,25,24,100,85,59,1010,1008,1006,10,5,0,19,5,37,0.00,6,Rain-Thunderstorm,149
2016-4-25,34,30,26,26,25,23,94,82,59,1011,1009,1007,10,5,3,19,3,,0.00,6,Rain-Thunderstorm,205
2016-4-26,35,30,25,27,25,24,94,83,56,1012,1010,1007,10,6,3,14,3,,0.00,6,Rain-Thunderstorm,171
2016-4-27,34,30,26,27,26,24,94,80,62,1011,1009,1006,10,6,3,21,5,,0.00,6,,212
2016-4-28,34,30,27,27,26,24,94,84,59,1010,1008,1007,8,5,3,11,3,,0.00,6,Rain-Thunderstorm,196
2016-4-29,34,30,25,26,26,24,94,86,59,1011,1009,1006,9,5,1,24,3,,0.00,6,Rain-Thunderstorm,190
2016-4-30,34,29,25,25,24,24,94,83,56,1011,1009,1006,9,7,3,19,3,37,0.00,6,Rain-Thunderstorm,185
2016-5-1,34,30,26,26,24,2,94,78,21,1011,1009,1006,7,5,1,13,3,,0.00,6,Rain-Thunderstorm,184
2016-5-2,34,29,25,27,25,23,100,88,63,1012,1009,1008,10,6,0,19,3,,0.00,6,Rain-Thunderstorm,174
2016-5-3,36,30,25,26,24,24,100,82,53,1011,1009,1006,10,8,4,19,5,37,0.00,6,Rain-Thunderstorm,178
2016-5-4,34,30,26,27,26,25,94,83,59,1011,1008,1005,10,6,5,19,2,,0.00,6,Rain-Thunderstorm,177
2016-5-5,35,30,26,27,26,24,94,83,53,1011,1008,1005,10,7,1,21,3,40,0.00,6,Rain-Thunderstorm,217
2016-5-6,34,29,25,27,26,25,100,86,59,1011,1009,1005,10,7,3,14,3,,0.00,6,Rain-Thunderstorm,328
2016-5-7,35,29,24,26,25,24,100,83,53,1011,1008,1005,10,8,1,14,3,,0.00,6,Rain-Thunderstorm,220
2016-5-8,34,29,25,26,24,24,100,83,56,1012,1010,1007,10,8,3,13,3,,0.00,6,Thunderstorm,45
2016-5-9,35,30,26,27,26,25,94,81,56,1011,1009,1006,10,7,3,11,3,,0.00,6,Rain-Thunderstorm,329
2016-5-10,34,29,24,26,25,24,100,87,59,1010,1008,1006,10,8,4,26,5,35,0.00,6,Rain-Thunderstorm,303
2016-5-11,32,28,25,26,26,24,100,84,66,1010,1008,1006,10,8,3,19,6,,0.00,6,Rain-Thunderstorm,321
2016-5-12,34,30,26,26,25,24,94,81,59,1009,1007,1004,10,8,4,11,3,,0.00,6,Rain-Thunderstorm,276
2016-5-13,33,29,26,26,25,24,94,85,63,1010,1008,1006,10,7,4,19,5,,0.00,6,Rain,340
2016-5-14,34,30,26,26,26,25,94,86,59,1011,1009,1007,10,7,3,19,3,,0.00,6,Rain-Thunderstorm,15
2016-5-15,34,29,25,26,25,24,94,88,63,1011,1009,1006,10,9,3,14,3,,0.00,6,Rain-Thunderstorm,75
2016-5-16,32,28,25,26,25,25,100,84,66,1012,1009,1005,10,9,7,16,8,,0.00,6,,291
2016-5-17,36,31,26,26,25,23,94,75,53,1010,1008,1004,10,9,6,16,3,,0.00,6,,172
2016-5-18,35,30,25,26,25,24,94,81,53,1011,1009,1006,10,9,6,13,6,,0.00,6,Rain-Thunderstorm,220
2016-5-19,34,30,27,26,26,25,94,78,59,1011,1008,1006,10,9,8,14,5,,0.00,6,,266
2016-5-20,33,30,27,26,26,25,89,79,63,1010,1008,1005,10,7,5,14,5,,0.00,6,Thunderstorm,296
2016-5-21,32,28,24,26,24,23,94,80,62,1013,1011,1009,10,9,1,21,10,,0.00,6,Rain,314
2016-5-22,35,30,26,27,25,24,89,77,53,1013,1010,1008,10,10,9,19,5,,0.00,6,Thunderstorm,281
2016-5-23,35,31,27,26,25,23,89,77,59,1011,1010,1008,10,10,9,16,3,,0.00,6,Thunderstorm,123
2016-5-24,32,28,25,26,26,24,94,81,66,1012,1010,1008,10,9,5,11,5,,0.00,6,Rain,104
2016-5-25,34,30,26,26,25,24,89,80,59,1010,1009,1007,10,9,6,13,3,32,0.00,6,Rain-Thunderstorm,107
2016-5-26,32,29,27,26,26,25,94,81,70,1011,1009,1007,10,9,5,10,3,,0.00,6,,160
2016-5-27,32,30,28,26,26,24,89,81,66,1011,1010,1008,10,9,6,19,3,,0.00,6,,121
2016-5-28,34,29,25,26,24,22,94,74,59,1013,1010,1007,10,9,5,23,6,,0.00,6,Rain-Thunderstorm,138
2016-5-29,34,30,26,25,24,23,94,76,59,1011,1009,1007,10,10,9,14,6,,0.00,6,Thunderstorm,269
2016-5-30,35,30,26,25,24,22,94,71,47,1011,1009,1007,10,9,8,14,6,,0.00,6,Rain,310
2016-5-31,34,29,24,26,24,22,94,79,49,1012,1010,1007,10,9,8,19,5,34,0.00,6,Rain-Thunderstorm,23
2016-6-1,34,30,27,26,25,23,94,77,56,1012,1010,1007,10,9,6,14,5,,0.00,6,Thunderstorm,327
2016-6-2,35,30,26,26,24,23,94,77,56,1012,1010,1007,10,10,8,13,5,,0.00,6,Thunderstorm,130
2016-6-3,34,29,25,26,24,22,94,77,56,1012,1010,1007,10,9,6,14,5,,0.00,6,Rain-Thunderstorm,358
2016-6-4,34,29,25,25,24,23,94,81,55,1012,1010,1009,10,9,6,19,3,,0.00,6,Thunderstorm,130
2016-6-5,35,30,26,25,24,23,94,74,52,1012,1010,1007,10,9,7,13,3,,0.00,6,,136
2016-6-6,34,30,27,25,25,24,89,75,56,1013,1010,1008,10,8,5,16,5,,0.00,6,Thunderstorm,39
2016-6-7,34,30,26,26,25,24,94,76,59,1013,1011,1008,10,9,6,14,5,,0.00,6,,263
2016-6-8,33,28,23,26,24,22,100,78,55,1013,1011,1009,10,8,2,27,5,,0.00,6,Rain-Thunderstorm,320
2016-6-9,35,30,25,26,25,24,94,79,53,1013,1011,1008,10,9,7,16,5,,0.00,6,Thunderstorm,325
2016-6-10,35,30,26,26,25,23,94,76,49,1012,1011,1008,10,9,6,19,5,,0.00,6,,313
2016-6-11,34,29,25,26,25,23,89,80,56,1013,1011,1008,10,9,7,19,8,,0.00,6,Rain-Thunderstorm,303
2016-6-12,33,29,25,26,24,24,100,87,66,1014,1011,1008,10,9,1,24,5,,0.00,6,Rain-Thunderstorm,327
2016-6-13,32,28,25,25,24,23,100,81,59,1013,1011,1008,10,9,6,11,3,,0.00,6,,240
2016-6-14,34,30,26,26,24,24,94,77,56,1012,1010,1007,10,9,6,11,3,,0.00,6,,340
2016-6-15,32,28,24,26,25,23,100,83,66,1012,1009,1006,10,8,2,14,5,,0.00,6,Rain-Thunderstorm,306
2016-6-16,33,29,26,26,25,23,94,80,66,1010,1008,1005,10,9,6,19,5,,0.00,6,Rain-Thunderstorm,112
2016-6-17,28,26,23,25,23,21,100,90,79,1012,1010,1009,10,8,2,16,8,,0.00,7,Rain-Thunderstorm,147
2016-6-18,30,27,23,25,23,22,94,81,66,1012,1010,1008,10,10,9,11,5,,0.00,6,,326
2016-6-19,32,28,24,26,24,22,94,83,66,1012,1009,1007,10,9,6,13,5,,0.00,6,Rain-Thunderstorm,324
2016-6-20,31,27,24,25,24,23,100,84,66,1011,1009,1006,10,9,7,13,5,,0.00,6,Rain,324
2016-6-21,34,29,25,25,24,23,94,76,56,1010,1008,1006,10,9,6,14,3,,0.00,6,,295
2016-6-22,31,28,26,25,24,23,89,77,62,1011,1009,1007,10,9,6,11,6,,0.00,6,,141
2016-6-23,34,30,27,25,24,22,89,71,52,1011,1009,1006,10,10,9,14,5,,0.00,6,,141
2016-6-24,32,29,27,25,24,23,89,74,59,1010,1009,1007,10,9,5,14,6,,0.00,6,,144
2016-6-25,33,30,27,25,23,22,84,68,55,1011,1010,1008,10,10,9,16,8,,0.00,6,,130
2016-6-26,34,30,27,24,23,21,79,67,49,1012,1010,1007,10,10,10,19,6,,0.00,6,,151
2016-6-27,34,31,28,24,23,22,79,66,49,1011,1009,1007,10,10,9,16,5,,0.00,6,,136
2016-6-28,34,30,26,25,24,23,89,72,56,1011,1009,1007,10,10,8,11,6,,0.00,6,,148
2016-6-29,35,30,26,25,24,22,89,70,49,1011,1010,1008,10,9,7,13,3,,0.00,6,,195
2016-6-30,35,30,26,26,24,23,89,71,56,1011,1009,1007,10,9,6,14,3,,0.00,6,,155
2016-7-1,35,31,28,26,25,23,89,72,56,1011,1009,1006,10,9,6,16,5,,0.00,6,,151
2016-7-2,35,30,26,25,24,23,94,71,49,1012,1010,1008,10,9,6,14,3,,0.00,6,,143
2016-7-3,36,30,25,25,24,23,89,68,50,1012,1010,1007,10,10,8,16,3,,0.00,6,,149
2016-7-4,35,30,26,26,25,23,89,72,59,1011,1009,1006,10,9,7,13,3,,0.00,6,Thunderstorm,201
2016-7-5,34,30,26,26,26,25,94,77,63,1010,1008,1006,10,8,3,19,3,,0.00,6,,157
2016-7-6,32,28,25,26,24,22,94,82,66,1010,1009,1007,10,8,5,21,5,,0.00,6,Rain-Thunderstorm,40
2016-7-7,35,29,24,26,24,23,100,76,53,1011,1009,1006,10,9,4,16,6,,0.00,6,,148
2016-7-8,33,28,23,26,24,23,100,79,59,1011,1009,1007,10,9,6,14,6,37,0.00,6,Rain-Thunderstorm,113
2016-7-9,33,29,26,26,24,23,89,78,63,1011,1009,1007,10,9,7,21,3,,0.00,6,Thunderstorm,139
2016-7-10,33,29,26,27,25,24,94,80,63,1011,1009,1007,10,9,6,11,3,,0.00,6,Rain,146
2016-7-11,34,30,26,26,25,23,94,78,62,1011,1009,1006,10,9,6,13,5,,0.00,6,,122
2016-7-12,34,30,26,26,24,23,94,81,52,1011,1009,1006,10,8,4,13,3,34,0.00,6,Rain-Thunderstorm,87
2016-7-13,34,29,25,26,24,23,94,82,56,1010,1008,1005,10,7,3,24,3,,0.00,6,Rain-Thunderstorm,21
2016-7-14,33,29,25,25,24,23,94,85,59,1010,1008,1006,10,8,4,14,3,,0.00,6,Rain-Thunderstorm,59
2016-7-15,33,29,26,25,24,23,94,80,55,1011,1009,1007,10,8,6,13,3,,0.00,6,,165
2016-7-16,32,28,24,25,24,24,100,87,62,1012,1010,1009,10,6,1,21,3,,0.00,6,Rain-Thunderstorm,253
2016-7-17,34,29,24,26,24,22,100,83,52,1013,1011,1007,10,8,4,23,5,,0.00,6,Rain-Thunderstorm,342
2016-7-18,31,28,25,25,24,23,94,83,66,1012,1010,1008,10,9,3,29,6,,0.00,6,,321
2016-7-19,33,28,24,25,24,23,94,76,59,1011,1009,1006,10,10,10,23,8,,0.00,6,,309
2016-7-20,33,29,25,25,24,22,94,80,52,1011,1009,1007,10,9,7,16,6,,0.00,6,Rain-Thunderstorm,325
2016-7-21,33,28,24,24,23,22,94,81,52,1012,1009,1007,10,10,8,19,6,,0.00,6,Rain-Thunderstorm,303
2016-7-22,33,28,23,25,24,23,100,84,55,1011,1010,1008,10,9,0,16,3,,0.00,6,Rain-Thunderstorm,99
2016-7-23,33,29,25,25,24,22,94,82,55,1011,1009,1006,10,8,6,19,3,,0.00,6,Rain-Thunderstorm,89
2016-7-24,32,28,24,24,23,22,94,76,55,1011,1009,1006,10,9,7,11,5,,0.00,6,Rain,136
2016-7-25,32,27,23,24,23,22,94,75,58,1012,1010,1007,10,10,8,23,8,,0.00,6,Rain,203
2016-7-26,32,29,26,25,24,23,89,76,59,1012,1010,1007,10,10,9,14,5,,0.00,6,Rain,166
2016-7-27,32,29,26,25,24,23,94,81,62,1011,1009,1007,10,8,6,13,3,,0.00,6,Thunderstorm,321
2016-7-28,33,29,25,25,24,23,94,79,55,1011,1009,1007,10,8,6,14,6,,0.00,6,,233
2016-7-29,33,29,25,24,23,21,94,74,49,1012,1009,1007,10,8,4,14,3,,0.00,6,,228
2016-7-30,34,29,25,26,24,22,94,77,49,1011,1009,1007,10,8,4,21,5,,0.00,6,Thunderstorm,39
2016-7-31,34,29,25,25,24,23,94,78,56,1011,1009,1007,10,8,6,19,5,,0.00,6,Thunderstorm,291
2016-8-1,34,30,26,25,24,22,89,72,49,1011,1009,1006,10,9,7,19,6,,0.00,6,,298
2016-8-2,35,31,27,25,24,22,89,72,47,1011,1008,1004,10,9,7,14,3,,0.00,6,,304
2016-8-3,34,30,27,25,23,20,89,70,49,1009,1008,1005,10,9,6,16,5,,0.00,6,,204
2016-8-4,33,29,26,24,23,22,83,71,52,1011,1009,1007,10,10,9,19,5,,0.00,6,,116
2016-8-5,33,29,26,25,23,21,89,70,49,1011,1009,1007,10,9,7,16,5,,0.00,6,,137
2016-8-6,33,29,26,24,23,22,89,71,55,1012,1010,1007,10,9,6,16,5,,0.00,6,Thunderstorm,127
2016-8-7,34,30,26,24,23,21,89,67,49,1012,1010,1007,10,9,7,16,5,,0.00,6,,196
2016-8-8,34,30,27,24,23,22,84,68,52,1012,1010,1008,10,9,6,13,3,27,0.00,6,,198
2016-8-9,34,29,25,25,24,23,89,73,56,1011,1009,1007,10,9,6,16,5,,0.00,6,,294
2016-8-10,33,29,26,26,24,23,89,76,59,1011,1010,1008,10,7,6,19,5,,0.00,6,,297
2016-8-11,33,29,26,25,24,23,94,79,59,1013,1010,1008,10,8,5,16,3,,0.00,6,Rain-Thunderstorm,329
2016-8-12,34,29,25,25,23,21,94,72,46,1012,1010,1008,10,9,6,16,6,,0.00,6,Thunderstorm,120
2016-8-13,34,29,25,24,23,21,89,72,46,1012,1010,1007,10,9,7,24,6,,0.00,6,Rain,307
2016-8-14,35,30,26,25,23,21,89,70,46,1011,1009,1006,10,9,6,19,3,,0.00,6,,291
2016-8-15,35,30,26,24,23,20,89,69,44,1011,1008,1005,10,9,6,14,5,,0.00,6,,250
